Class,Feature,B (β),SE,Wald χ²,p-value,CI Lower (95%),CI Upper (95%)
Dubstep,Loudness,-0.029855571359312286,0.07547544379511083,0.15647300499019068,0.6924247155633818,-0.1777874411977295,0.11807629847910493
Dubstep,Dissonance,-1.0698258367466038,0.17292821195112068,38.27317244927848,6.150238533776097e-10,-1.4087651321708003,-0.7308865413224073
Dubstep,Dynamic complexity,0.3356772918931752,0.15758574531743458,4.537431330132344,0.03316131782580702,0.026809231071003414,0.644545352715347
Dubstep,Pitch salience,-0.03481239027155851,0.3095094491540297,0.012650854550522686,0.9104459841941432,-0.6414509106134567,0.5718261300703398
Dubstep,Spectral centroid,-0.13800162556627668,0.10203466314896044,1.8292494542080866,0.1762162219334073,-0.33798956533823915,0.06198631420568579
Dubstep,Spectral complexity,0.7242885572713836,0.36721848187784184,3.890220215575525,0.04856805488929168,0.004540332790813673,1.4440367817519535
Dubstep,Spectral decrease,0.09205806115741254,0.23721221994294522,0.15060851699374295,0.6979545146804855,-0.3728778899307601,0.5569940122455852
Dubstep,Spectral energyband high,0.2435949889600038,1.2141244740193837,0.04025411407472672,0.8409845519586938,-2.136088980117988,2.623278958037996
Dubstep,Spectral energyband low,-0.6049693612990913,0.20895669250894974,8.382126098059453,0.0037892889807725604,-1.0145244786166328,-0.19541424398154983
Dubstep,Spectral energyband middle,-0.23408124218931103,1.2458467073802184,0.03530238194589236,0.8509634455507482,-2.675940788654539,2.207778304275917
Dubstep,Spectral entropy,0.05742324359502213,0.37764272662873777,0.023121350183141504,0.8791419296763524,-0.6827565005973039,0.7976029877873482
Dubstep,Spectral kurtosis,-0.3529981719893976,0.22806103248403423,2.3957568606347714,0.12166485345887355,-0.7999977956581047,0.09400145167930951
Dubstep,Spectral rolloff,0.46544214373522147,0.41810029243076346,1.2392829243654215,0.2656092965442256,-0.35403442942907487,1.2849187168995178
Dubstep,Spectral skewness,-0.04972115058159479,0.4025189245549561,0.015258425886427278,0.9016913779107933,-0.8386582427093087,0.7392159415461191
Dubstep,Spectral spread,0.32879409233172247,0.2799277788323803,1.3796089880184672,0.2401677621167639,-0.21986435417974287,0.8774525388431877
Dubstep,Zerocr,-1.0956637514143543,0.4856992377155182,5.088851103973868,0.024080139497978378,-2.04763425733677,-0.14369324549193863
Dubstep,Mfcc1,-1.0751637204330882,0.36515105290776995,8.669700371553244,0.003235443845421609,-1.7908597841323173,-0.35946765673385905
Dubstep,Mfcc2,-0.4566108374481263,0.2732190676206003,2.792996684941692,0.0946770263646459,-0.9921202099845028,0.07889853508825023
Dubstep,Mfcc3,-0.4893602150552807,0.2167349704939027,5.09799417242801,0.023953527437197922,-0.91416075722333,-0.06455967288723141
Dubstep,Mfcc4,-0.0493215226983367,0.17382026552482438,0.08051413548829225,0.776601875786466,-0.3900092431269925,0.29136619773031913
Dubstep,Mfcc5,-0.11719294917623965,0.13010402124836307,0.8113748224561219,0.3677140959754679,-0.37219683082303123,0.13781093247055196
